codigo;departamento;municipio;particulares;lea;total;
15293;Boyacá;Gachantivá;2.744;0;2.744;
15296;Boyacá;Gameza;4.395;0;4.395;
15299;Boyacá;Garagoa;13.977;168;14.145;
15317;Boyacá;Guacamayas;1.764;26;1.790;
15322;Boyacá;Guateque;8.025;98;8.123;
15325;Boyacá;Guayatá;3.089;23;3.112;
15332;Boyacá;Güicán;3.920;1;3.921;
15362;Boyacá;Iza;1.944;0;1.944;
15367;Boyacá;Jenesano;6.308;25;6.333;
15368;Boyacá;Jericó;3.540;0;3.540;
15377;Boyacá;Labranzagrande;3.075;0;3.075;
15380;Boyacá;La Capilla;2.284;16;2.300;
15401;Boyacá;La Victoria;956;0;956;
15403;Boyacá;La Uvita;2.774;98;2.872;
15407;Boyacá;Villa de Leyva;14.267;139;14.406;
15425;Boyacá;Macanal;3.516;52;3.568;
15442;Boyacá;Maripí;5.354;0;5.354;
15455;Boyacá;Miraflores;8.199;75;8.274;
15464;Boyacá;Mongua;4.300;0;4.300;
15466;Boyacá;Monguí;3.895;0;3.895;
15469;Boyacá;Moniquirá;20.667;181;20.848;
15476;Boyacá;Motavita;5.226;27;5.253;
15480;Boyacá;Muzo;7.961;362;8.323;
15491;Boyacá;Nobsa;14.651;0;14.651;
15494;Boyacá;Nuevo Colón;5.008;17;5.025;
15500;Boyacá;Oicatá;2.797;0;2.797;
15507;Boyacá;Otanche;6.989;8;6.997;
15511;Boyacá;Pachavita;2.261;14;2.275;
15514;Boyacá;Páez;2.925;5;2.930;
15516;Boyacá;Paipa;31.097;44;31.141;
15518;Boyacá;Pajarito;1.930;11;1.941;
15522;Boyacá;Panqueba;1.619;25;1.644;
15531;Boyacá;Pauna;6.355;0;6.355;
15533;Boyacá;Paya;2.061;0;2.061;
15537;Boyacá;Paz de Río;4.040;7;4.047;
15542;Boyacá;Pesca;6.604;0;6.604;
15550;Boyacá;Pisba;1.582;0;1.582;
15572;Boyacá;Puerto Boyacá;44.076;708;44.784;
15580;Boyacá;Quípama;4.194;0;4.194;
15599;Boyacá;Ramiriquí;8.690;199;8.889;
15600;Boyacá;Ráquira;7.302;10;7.312;
15621;Boyacá;Rondón;2.212;18;2.230;
15632;Boyacá;Saboyá;11.161;0;11.161;
15638;Boyacá;Sáchica;4.823;0;4.823;
15646;Boyacá;Samacá;17.485;57;17.542;
15660;Boyacá;San Eduardo;1.558;14;1.572;
15664;Boyacá;San José de Pare;4.658;0;4.658;
15667;Boyacá;San Luis de Gaceno;4.534;17;4.551;
15673;Boyacá;San Mateo;3.307;0;3.307;
15676;Boyacá;San Miguel de Sema;2.901;0;2.901;
15681;Boyacá;San Pablo de Borbur;5.827;12;5.839;
15686;Boyacá;Santana;6.811;15;6.826;
15690;Boyacá;Santa María;3.093;16;3.109;
15693;Boyacá;Santa Rosa de Viterbo;10.849;480;11.329;
15696;Boyacá;Santa Sofía;2.924;35;2.959;
15720;Boyacá;Sativanorte;1.947;79;2.026;
15723;Boyacá;Sativasur;1.044;4;1.048;
15740;Boyacá;Siachoque;6.649;0;6.649;
15753;Boyacá;Soatá;8.456;82;8.538;
15755;Boyacá;Socotá;7.122;11;7.133;
15757;Boyacá;Socha;7.497;12;7.509;
15759;Boyacá;Sogamoso;119.503;959;120.462;
15761;Boyacá;Somondoco;2.364;13;2.377;
15762;Boyacá;Sora;2.586;0;2.586;
15763;Boyacá;Sotaquirá;7.953;0;7.953;
15764;Boyacá;Soracá;5.858;46;5.904;
15774;Boyacá;Susacón;2.555;0;2.555;
15776;Boyacá;Sutamarchán;5.755;0;5.755;
15778;Boyacá;Sutatenza;3.481;20;3.501;
15790;Boyacá;Tasco;5.140;10;5.150;
15798;Boyacá;Tenza;3.426;35;3.461;
15804;Boyacá;Tibaná;7.945;21;7.966;
15806;Boyacá;Tibasosa;11.019;4;11.023;
15808;Boyacá;Tinjacá;2.869;0;2.869;
15810;Boyacá;Tipacoque;3.154;0;3.154;
15814;Boyacá;Toca;8.707;0;8.707;
15816;Boyacá;Togüí;4.224;0;4.224;
15820;Boyacá;Tópaga;3.531;0;3.531;
15822;Boyacá;Tota;4.530;0;4.530;
15832;Boyacá;Tununguá;1.526;0;1.526;
15835;Boyacá;Turmequé;5.835;21;5.856;
15837;Boyacá;Tuta;8.143;11;8.154;
15839;Boyacá;Tutazá;1.794;0;1.794;
15842;Boyacá;Umbita;6.905;0;6.905;
15861;Boyacá;Ventaquemada;13.974;10;13.984;
15879;Boyacá;Viracachá;2.582;0;2.582;
15897;Boyacá;Zetaquira;4.272;29;4.301;
17001;Caldas;Manizales;395.818;4.618;400.436;
17013;Caldas;Aguadas;20.525;187;20.712;
17042;Caldas;Anserma;31.438;373;31.811;
17050;Caldas;Aranzazu;9.854;0;9.854;
17088;Caldas;Belalcázar;9.661;29;9.690;
17174;Caldas;Chinchiná;48.298;186;48.484;
17272;Caldas;Filadelfia;9.613;17;9.630;
17380;Caldas;La Dorada;69.086;1.716;70.802;
17388;Caldas;La Merced;5.324;1;5.325;
17433;Caldas;Manzanares;16.502;30;16.532;
17442;Caldas;Marmato;8.485;0;8.485;
17444;Caldas;Marquetalia;12.079;67;12.146;
17446;Caldas;Marulanda;2.081;0;2.081;
17486;Caldas;Neira;20.355;140;20.495;
17495;Caldas;Norcasia;5.946;3;5.949;
17513;Caldas;Pácora;13.074;140;13.214;
17524;Caldas;Palestina;13.490;70;13.560;
17541;Caldas;Pensilvania;17.107;235;17.342;
17614;Caldas;Riosucio;48.012;317;48.329;
17616;Caldas;Risaralda;9.840;0;9.840;
17653;Caldas;Salamina;16.441;318;16.759;
17662;Caldas;Samaná;17.424;42;17.466;
17665;Caldas;San José;4.516;8;4.524;
17777;Caldas;Supía;26.571;0;26.571;
17867;Caldas;Victoria;8.148;24;8.172;
17873;Caldas;Villamaría;62.671;160;62.831;
17877;Caldas;Viterbo;12.425;7;12.432;
18001;Caquetá;Florencia;152.474;4.315;156.789;
18029;Caquetá;Albania;4.363;151;4.514;
18094;Caquetá;Belén de Los Andaquies;8.729;346;9.075;
18150;Caquetá;Cartagena del Chairá;27.267;672;27.939;
18205;Caquetá;Curillo;7.379;139;7.518;
18247;Caquetá;El Doncello;17.572;203;17.775;
18256;Caquetá;El Paujil;12.822;192;13.014;
18410;Caquetá;La Montañita;11.524;604;12.128;
18460;Caquetá;Milán;6.980;527;7.507;
18479;Caquetá;Morelia;3.350;0;3.350;
18592;Caquetá;Puerto Rico;23.616;779;24.395;
18610;Caquetá;San José del Fragua;10.965;399;11.364;
18753;Caquetá;San Vicente del Caguán;40.794;1.596;42.390;
18756;Caquetá;Solano;9.587;744;10.331;
18785;Caquetá;Solita;5.242;189;5.431;
18860;Caquetá;Valparaíso;5.678;404;6.082;
19001;Cauca;Popayán;272.901;4.369;277.270;
19022;Cauca;Almaguer;16.523;0;16.523;
19050;Cauca;Argelia;19.925;211;20.136;
19075;Cauca;Balboa;18.904;6;18.910;
19100;Cauca;Bolívar;35.625;212;35.837;
19110;Cauca;Buenos Aires;25.236;21;25.257;
19130;Cauca;Cajibío;32.235;2;32.237;
19137;Cauca;Caldono;35.886;253;36.139;
19142;Cauca;Caloto;25.264;152;25.416;
19212;Cauca;Corinto;21.633;342;21.975;
19256;Cauca;El Tambo;38.509;179;38.688;
19290;Cauca;Florencia;5.089;0;5.089;
19300;Cauca;Guachené ;18.513;0;18.513;
19318;Cauca;Guapi;23.775;262;24.037;
19355;Cauca;Inzá;26.490;81;26.571;
19364;Cauca;Jambaló;16.353;0;16.353;
19392;Cauca;La Sierra;9.935;0;9.935;
19397;Cauca;La Vega;19.777;0;19.777;
19418;Cauca;López;15.117;37;15.154;
19450;Cauca;Mercaderes;14.806;18;14.824;
19455;Cauca;Miranda;28.540;122;28.662;
19473;Cauca;Morales;29.737;0;29.737;
19513;Cauca;Padilla;8.763;0;8.763;
19517;Cauca;Paez;37.599;67;37.666;
19532;Cauca;Patía;28.361;225;28.586;
19533;Cauca;Piamonte;7.124;1;7.125;
19548;Cauca;Piendamó;33.346;85;33.431;
19573;Cauca;Puerto Tejada;40.020;224;40.244;
19585;Cauca;Puracé;14.925;27;14.952;
19622;Cauca;Rosas;9.336;0;9.336;
19693;Cauca;San Sebastián;9.769;37;9.806;
19698;Cauca;Santander de Quilichao;95.348;684;96.032;
19701;Cauca;Santa Rosa;4.975;70;5.045;
19743;Cauca;Silvia;33.380;128;33.508;
19760;Cauca;Sotara;11.921;37;11.958;
19780;Cauca;Suárez;19.624;66;19.690;
19785;Cauca;Sucre;6.201;0;6.201;
19807;Cauca;Timbío;32.170;47;32.217;
19809;Cauca;Timbiquí;21.614;4;21.618;
19821;Cauca;Toribio;30.654;0;30.654;
19824;Cauca;Totoró;20.870;0;20.870;
19845;Cauca;Villa Rica;18.761;0;18.761;
20001;Cesar;Valledupar;455.636;3.713;459.349;
20011;Cesar;Aguachica;95.548;330;95.878;
20013;Cesar;Agustín Codazzi;58.475;146;58.621;
